TYPE,ADDRESS,LOCATION,LOCATION_2,ENTRANCE_T,TYPE_2,LAT,LNG
Pedestrian,2102 N 33RD STST,East Fairmount Park, ,Trail - Park,Primary,39.9888912679,-75.1881419854
Vehicular,DIAMOND ST,East Fairmount Park, ,Road,Primary,39.9886892895,-75.1871669278
Vehicular,FOUNTAIN GREEN DR,East Fairmount Park, ,Road,Primary,39.9806304617,-75.1980036208
Pedestrian and Vehicular,RESERVOIR DR,East Fairmount Park,Main Entrance,"Trail - Park, Road",Primary,39.9812139063,-75.1887987942
Vehicular,CALUMET ST,East Fairmount Park, ,Road,Primary,40.0093099485,-75.1968246892
Vehicular,RESERVOIR DR,East Fairmount Park, ,Road,Primary,39.995324301,-75.1916746414
Vehicular,2400 JOHN B KELLY DR,East Fairmount Park,East Park Canoe House,"Road, Parking Lot",Primary,39.9941279341,-75.1925684661
Vehicular,2400 JOHN B KELLY DR,East Fairmount Park,East Park Canoe House and St Joseph's Boathouse,"Road, Parking Lot",Primary,39.992751616,-75.1938383609
Vehicular,2400 JOHN B KELLY DR,East Fairmount Park,East Park Canoe House and St Joseph's Boathouse,"Road, Parking Lot",Primary,39.9923661818,-75.1945148959
Vehicular,KELLY DR,East Fairmount Park,Reviewing Stand on Kelly Drive,"Road, Parking Lot",Primary,39.9872554548,-75.2000203734
Vehicular,1700 JOHN B KELLY DR,East Fairmount Park, ,Road,Primary,39.9757277094,-75.1918744803
Vehicular,LEMON HILL DR,East Fairmount Park, ,Road,Primary,39.9699978979,-75.1884684316
Pedestrian and Vehicular,SEDGLEY DR,East Fairmount Park, ,"Trail - Park, Road",Primary,39.9694527888,-75.1847697421
Pedestrian and Vehicular,1 JOHN B KELLY DR,East Fairmount Park, ,"Trail - Park, Road",Primary,39.9691926276,-75.1847500732
Pedestrian,KELLY DR,East Fairmount Park, ,Trail - Park,Primary,39.9675572512,-75.1817986441
Vehicular,KELLY DR,East Fairmount Park, ,Road,Primary,39.9674819689,-75.1811692078
Pedestrian and Vehicular,ANNE DHARNONCOURT WAY,East Fairmount Park,Philadelphia Museum of Art,"Road, Sidewalks",Primary,39.9663171484,-75.1795530295
Pedestrian,2600 BENJ FRANKLIN PKY,East Fairmount Park,Philadelphia Museum of Art,Plaza,Primary,39.964623725,-75.1795609807
Pedestrian and Vehicular,ANNE DHARNONCOURT WAY,East Fairmount Park,Philadelphia Museum of Art,"Trail - Park, Road",Primary,39.9646082957,-75.1822255925
Pedestrian,SCHUYLKILL BANKS TRAIL,East Fairmount Park,Schuylkill River Trail,Trail - Park,Primary,39.9643953503,-75.1826747077
Pedestrian,PENNSYLVANIA AVE,East Fairmount Park, ,Trail - Park,Primary,39.9689671541,-75.1817730186
Pedestrian,PENNSYLVANIA AVE,East Fairmount Park, ,Trail - Park,Primary,39.9684331404,-75.1811760273
Pedestrian and Vehicular,POPLAR ST,East Fairmount Park, ,"Trail - Park, Road",Primary,39.9735740025,-75.1865891674
Pedestrian and Vehicular,GIRARD AVE,East Fairmount Park, ,"Trail - Park, Road",Primary,39.9750727843,-75.1873416745
Pedestrian and Vehicular,33RD ST,East Fairmount Park, ,"Trail - Park, Road",Primary,39.9770666512,-75.1896275391
Pedestrian and Vehicular,33RD ST,East Fairmount Park,SEPTA bus turn around,Trail - Park,Secondary,39.9824487806,-75.1885338798
Pedestrian,33RD ST,East Fairmount Park, ,Trail - Park,Primary,39.9840752232,-75.1881765831
