PATTISON AV,LAWRENCE ST,PATTISON AVE & S LAWRENCE ST,-75.15843135,39.90346353
PATTISON AV,20TH ST,PATTISON AVE & S 20TH ST,-75.18338897,39.90661864
BROAD ST,ZINKOFF,S BROAD ST & ZINKOFF BLVD,-75.17465663,39.90297463
BROAD ST,JACKSON ST,S BROAD ST & JACKSON ST,-75.17002471,39.92313905
LINDBERGH BLVD,70TH ST,LINDBERGH BLVD & S 70TH ST,-75.23078463,39.91118571
LINDBERGH BLVD,80TH ST,LINDBERGH BLVD & S 80TH ST,-75.24745993,39.90236339
LINDBERGH BLVD,78TH ST,LINDBERGH BLVD & S 78TH ST,-75.24324032,39.90368928
65TH ST,WOODLAND AV,S 65TH ST & WOODLAND AVE,-75.23432827,39.92557419
LINDBERGH BLVD,72ND ST,LINDBERGH BLVD & S 72ND ST,-75.23317484,39.9090751
BARTRAM AV,TINICUM AV,BARTRAM AVE & TINICUM BLVD,-75.24503283,39.89037758
WOODLAND AV,50TH ST,WOODLAND AVE & S 50TH ST,-75.21386547,39.93997561
58TH ST,GREENWAY AV,S 58TH ST & GREENWAY AVE,-75.22586094,39.93348215
LINDBERGH BLVD,68TH ST,LINDBERGH BLVD & S 68TH ST,-75.22734138,39.91350433
BARTRAM AV,84TH ST,BARTRAM AVE & S 84TH ST,-75.24196099,39.89192381
BARTRAM AV,84TH ST,BARTRAM AVE & S 84TH ST,-75.24196099,39.89192381
1 84TH,S/O LINDBERGH,S 84TH ST & LINDBERGH BLVD,-75.25244567,39.89750695
84TH ST,LINDBERGH BLVD,S 84TH ST & LINDBERGH BLVD,-75.25244567,39.89750695
84TH ST,CRANE ST,S 84TH ST & CRANE ST,-75.24713288,39.89407022
CHESTNUT ST,34TH ST,CHESTNUT ST & S 34TH ST,-75.19177958,39.9543307
CHESTNUT ST,34TH ST,CHESTNUT ST & S 34TH ST,-75.19177958,39.9543307
33RD ST,SPRUCE ST,S 33RD ST & SPRUCE ST,-75.1916904,39.95032171
33RD ST,SPRUCE ST,S 33RD ST & SPRUCE ST,-75.1916904,39.95032171
UNIVERSITY AV,WOODLAND AV,UNIVERSITY AVE & WOODLAND AVE,-75.20115753,39.94984044
UNIVERSITY AV,WOODLAND AV,UNIVERSITY AVE & WOODLAND AVE,-75.20115753,39.94984044
WOODLAND AV,43RD ST,WOODLAND AVE & S 43RD ST,-75.20838441,39.94565561
CHESTNUT ST,32ND ST,CHESTNUT ST & S 32ND ST,-75.1873878,39.95378813
CIVIC CENTER,34TH,CIVIC CENTER BLVD & S 34TH ST,-75.19310033,39.94810082
34TH ST,SPRUCE ST,S 34TH ST & SPRUCE ST,-75.19258719,39.95044738
33RD ST,WALNUT ST,S 33RD ST & WALNUT ST,-75.1900353,39.95255563
SPRUCE ST,38TH ST,SPRUCE ST & S 38TH ST,-75.19920568,39.95125836
CHESTNUT ST,30TH ST,CHESTNUT ST & S 30TH ST,-75.18374158,39.95333647
CHESTER AV,43RD ST,CHESTER AVE & S 43RD ST,-75.20905245,39.94840065
CHESTNUT ST,40TH ST,CHESTNUT ST & S 40TH ST,-75.2022741,39.95563138
WALNUT ST,39TH ST,WALNUT ST & S 39TH ST,-75.20026099,39.95382174
WALNUT ST,39TH ST,WALNUT ST & S 39TH ST,-75.20026099,39.95382174
BALTIMORE AV,53RD ST,BALTIMORE AVE & S 53RD ST,-75.22944958,39.94778084
BALTIMORE AV,53RD ST,BALTIMORE AVE & S 53RD ST,-75.22944958,39.94778084
CONSHOHOCKEN AV,W COUNTRY,CONSHOHOCKEN AVE & W COUNTRY CLUB RD,-75.20770675,40.00271537
CONSHOHOCKEN AV,W COUNTRY,CONSHOHOCKEN AVE & W COUNTRY CLUB RD,-75.20770675,40.00271537
54TH ST,CITY AV,N 54TH ST & CITY AVE,-75.23528612,39.9970893
LANCASTER AV,41ST ST,LANCASTER AVE & N 41ST ST,-75.20546777,39.96509101
SPRUCE ST,49TH ST,SPRUCE ST & S 49TH ST,-75.22008121,39.95385043
CITY AV,BELMONT AV,CITY AVE & BELMONT AVE,-75.22069649,40.0039256
GIRARD AV,39TH ST,W GIRARD AVE & N 39TH ST,-75.20173701,39.97439588
CITY AV,CONSHOHOCKEN AV,CITY AVE & CONSHOHOCKEN AVE,-75.2264147,40.00123971
52ND ST,PINE ST,S 52ND ST & PINE ST,-75.22622413,39.95352912
52ND ST,HAVERFORD AV,N 52ND ST & HAVERFORD AVE,-75.22459125,39.96489704
HAVERFORD AV,MALVERN AV,HAVERFORD AVE & MALVERN AVE,-75.26305409,39.97575007
PARKSIDE AV,49TH ST,PARKSIDE AVE & N 49TH ST,-75.21933369,39.99217284
BALTIMORE AV,43RD ST,BALTIMORE AVE & S 43RD ST,-75.20926016,39.94954275
BALTIMORE AV,43RD ST,BALTIMORE AVE & S 43RD ST,-75.20926016,39.94954275
CITY AV,PRESIDENTIAL BLVD,CITY AVE & PRESIDENTIAL BLVD,-75.2107668,40.00855247
CITY AV,PRESIDENTIAL BLVD,CITY AVE & PRESIDENTIAL BLVD,-75.2107668,40.00855247
GIRARD AV,34TH ST,W GIRARD AVE & N 34TH ST,-75.19489864,39.97516312
GIRARD AV,34TH ST,W GIRARD AVE & N 34TH ST,-75.19489864,39.97516312
60TH ST,LANSDOWNE AV,N 60TH ST & LANSDOWNE AVE,-75.24023502,39.97591841
60TH ST,LANSDOWNE AV,N 60TH ST & LANSDOWNE AVE,-75.24023502,39.97591841
FORD RD,CRANSTON RD,FORD RD & CRANSTON RD,-75.20969683,39.99965137
BELMONT AV,MANTUA AV,BELMONT AVE & MANTUA AVE,-75.21205577,39.97250895
BALTIMORE AV,58TH ST,BALTIMORE AVE & S 58TH ST,-75.24005316,39.94591858
CONSHOHOCKEN AV,E COUNTRY,CONSHOHOCKEN AVE & E COUNTRY CLUB RD,-75.20319533,40.0033948
BELMONT AV,CONSHOHOCKEN AV,BELMONT AVE & CONSHOHOCKEN AVE,-75.21955144,39.99984074
ZOOLOGICAL ST,GIRARD AV,ZOOLOGICAL ST & W GIRARD AVE,-75.19541224,39.97510346
SPRUCE ST,60TH ST,SPRUCE ST & S 60TH ST,-75.24188945,39.95655399
54TH ST,UPLAND WAY,N 54TH ST & UPLAND WAY,-75.23079186,39.9825177
LANCASTER AV,47TH ST,LANCASTER AVE & N 47TH ST,-75.21608588,39.9716194
LANSDOWNE AV,56TH ST,LANSDOWNE AVE & N 56TH ST,-75.23369115,39.97664392
LANCASTER AV,47TH ST,LANCASTER AVE & N 47TH ST,-75.21608588,39.9716194
